dataset,synthetic_bin_size,input_name,mix_method,algorithm,exclude_primary_5050,retained_target_purity,removed_nontarget_purity
largecut,5000,C3C1_4060_bimix.fcs,Bimix,peacoqc,False,0.851489513609996,0.661061518875215
largecut,5000,C3C1_4060_bimix.fcs,Bimix,flowcut,False,0.597714066465859,0.332794520547945
largecut,5000,A05A1A3_157510_trimix.fcs,Trimix,flowmop,False,0.997306818082855,0.718568481848185
largecut,5000,A05A1A3_157510_trimix.fcs,Trimix,peacoqc,False,0.752206073622496,0.262882352941176
largecut,5000,A05A1A3_157510_trimix.fcs,Trimix,flowcut,False,0.837128171183098,0.721132420091324
largecut,5000,A05A1A3_306010_trimix.fcs,Trimix,flowmop,False,0.810441527446301,0.940398365679265
largecut,5000,A05A1A3_306010_trimix.fcs,Trimix,peacoqc,False,0.894198473282443,0.778337696335079
largecut,5000,A05A1A3_306010_trimix.fcs,Trimix,flowcut,False,0.672095453753701,0.732449799196787
largecut,5000,A05A1A3_601030_trimix.fcs,Trimix,flowmop,False,0.824243646631706,0.948224852071006
largecut,5000,A05A1A3_601030_trimix.fcs,Trimix,peacoqc,False,0.613450635386119,0.4367717797969
largecut,5000,A05A1A3_601030_trimix.fcs,Trimix,flowcut,False,0.59466275659824,0.180722891566265
largecut,5000,A05A3A1_454510_trimix.fcs,Trimix,flowmop,False,0.950649501545326,0.715621468926554
largecut,5000,A05A3A1_454510_trimix.fcs,Trimix,peacoqc,False,0.997702797202797,0.255455405330218
largecut,5000,A05A3A1_454510_trimix.fcs,Trimix,flowcut,False,0.9020078713895,0.15625
largecut,5000,A1A3A05_551035_trimix.fcs,Trimix,flowmop,False,0.605657811511702,0.901107351584128
largecut,5000,A1A3A05_551035_trimix.fcs,Trimix,peacoqc,False,0.784037927602284,0.626493827160494
largecut,5000,A1A3A05_551035_trimix.fcs,Trimix,flowcut,False,0.610665520206363,0.723620117278397
largecut,5000,A1A3A05_651025_trimix.fcs,Trimix,flowmop,False,0.759661071019445,0.710063492063492
largecut,5000,A1A3A05_651025_trimix.fcs,Trimix,peacoqc,False,0.68181447719402,0.618460641399417
largecut,5000,A1A3A05_651025_trimix.fcs,Trimix,flowcut,False,0.729668193021512,0.73431654676259
largecut,5000,A1A3A05_651520_trimix.fcs,Trimix,flowmop,False,0.892135313531353,0.914133122113836
largecut,5000,A1A3A05_651520_trimix.fcs,Trimix,peacoqc,False,0.73182096232749,0.629964203097632
largecut,5000,A1A3A05_651520_trimix.fcs,Trimix,flowcut,False,0.780642582628747,0.744137825463755
largecut,5000,A3A1A05_103555_trimix.fcs,Trimix,flowmop,False,0.641148414601652,0.895481770833333
largecut,5000,A3A1A05_103555_trimix.fcs,Trimix,peacoqc,False,0.8177,0.596651831564533
largecut,5000,A3A1A05_103555_trimix.fcs,Trimix,flowcut,False,0.604434758921275,0.685152941176471
largecut,5000,B05B3B1_151570_trimix.fcs,Trimix,flowmop,False,0.978977047882865,0.785185822436339
largecut,5000,B05B3B1_151570_trimix.fcs,Trimix,peacoqc,False,0.782496075353218,0.630503144654088
largecut,5000,B05B3B1_151570_trimix.fcs,Trimix,flowcut,False,0.701082113303628,0.380952380952381
largecut,5000,B05B3B1_751510_trimix.fcs,Trimix,flowmop,False,0.971277630415561,0.883137909662404
largecut,5000,B05B3B1_751510_trimix.fcs,Trimix,peacoqc,False,0.80989417989418,0.347388159196277
largecut,5000,B05B3B1_751510_trimix.fcs,Trimix,flowcut,False,0.872911963882618,0.575066560011462
largecut,5000,B3B05B1_652510_trimix.fcs,Trimix,flowmop,False,0.864325745191523,0.948100165562914
largecut,5000,B3B05B1_652510_trimix.fcs,Trimix,peacoqc,False,0.660307135107128,0.409235294117647
largecut,5000,B3B05B1_652510_trimix.fcs,Trimix,flowcut,False,0.657368197822765,0.618816326530612
largecut,5000,B3B05B1_801010_trimix.fcs,Trimix,flowmop,False,0.938516438659644,0.545511294261294
largecut,5000,B3B05B1_801010_trimix.fcs,Trimix,peacoqc,False,0.808222521105853,0.364448512585812
largecut,5000,B3B05B1_801010_trimix.fcs,Trimix,flowcut,False,0.998934139535579,0.66789458272328
largecut,5000,B3B1B05_204535_trimix.fcs,Trimix,flowmop,False,0.47609245214879,0.871111111111111
largecut,5000,B3B1B05_204535_trimix.fcs,Trimix,peacoqc,False,0.534545454545455,0.675259013675922
largecut,5000,B3B1B05_204535_trimix.fcs,Trimix,flowcut,False,0.600752269779507,0.822456633849039
largecut,5000,B3B1B05_253540_trimix.fcs,Trimix,flowmop,False,0.410063130493936,0.933986928104575
largecut,5000,B3B1B05_253540_trimix.fcs,Trimix,peacoqc,False,0.398218666666667,0.595458238489482
largecut,5000,B3B1B05_253540_trimix.fcs,Trimix,flowcut,False,0.395309935304719,0.428571428571429
largecut,5000,B3B1B05_503515_trimix.fcs,Trimix,flowmop,False,0.50090618336887,0.514166666666667
largecut,5000,B3B1B05_503515_trimix.fcs,Trimix,peacoqc,False,0.4932874617737,0.401569506726457
largecut,5000,B3B1B05_503515_trimix.fcs,Trimix,flowcut,False,0.509526288391463,0.744
largecut,5000,B3B1B05_651025_trimix.fcs,Trimix,flowmop,False,0.846935024354379,0.94984555984556
largecut,5000,B3B1B05_651025_trimix.fcs,Trimix,peacoqc,False,0.997066502463054,0.675959638952759
largecut,5000,B3B1B05_651025_trimix.fcs,Trimix,flowcut,False,0.667525856356059,0.784615384615385
largecut,5000,C1C3C05_107515_trimix.fcs,Trimix,flowmop,False,0.924606823572341,0.655682174683523
largecut,5000,C1C3C05_107515_trimix.fcs,Trimix,peacoqc,False,0.894569548445655,0.591605427643574
largecut,5000,C1C3C05_107515_trimix.fcs,Trimix,flowcut,False,0.99360621242485,0.676520643698812
largecut,5000,C1C3C05_205525_trimix.fcs,Trimix,flowmop,False,0.728304008265719,0.945143459915612
largecut,5000,C1C3C05_205525_trimix.fcs,Trimix,peacoqc,False,0.998370481927711,0.714337464928792
largecut,5000,C1C3C05_205525_trimix.fcs,Trimix,flowcut,False,0.584048797050834,0.848269503546099
largecut,5000,C1C3C05_302545_trimix.fcs,Trimix,flowmop,False,0.452905039566847,0.631578947368421
largecut,5000,C1C3C05_302545_trimix.fcs,Trimix,peacoqc,False,0.597014492753623,0.883026920551543
largecut,5000,C1C3C05_302545_trimix.fcs,Trimix,flowcut,False,0.44319594034797,0.323448275862069
largecut,5000,C1C3C05_452035_trimix.fcs,Trimix,flowmop,False,0.460847729765837,0.9178125
largecut,5000,C1C3C05_452035_trimix.fcs,Trimix,peacoqc,False,0.566381741205203,0.882925287356322
largecut,5000,C1C3C05_452035_trimix.fcs,Trimix,flowcut,False,0.457786661094963,0.79047619047619
largecut,5000,C3C05C1_101080_trimix.fcs,Trimix,flowmop,False,0.990468005312915,0.668846153846154
largecut,5000,C3C05C1_101080_trimix.fcs,Trimix,peacoqc,False,0.892202127659575,0.819422609689867
largecut,5000,C3C05C1_101080_trimix.fcs,Trimix,flowcut,False,0.917477020537308,0.604970588235294
largecut,5000,C3C05C1_651025_trimix.fcs,Trimix,flowmop,False,0.665878825649132,0.958350877192983
largecut,5000,C3C05C1_651025_trimix.fcs,Trimix,peacoqc,False,0.649977677404304,
largecut,5000,C3C05C1_651025_trimix.fcs,Trimix,flowcut,False,0.670248083539567,0.781074626865672
largecut,5000,C3C1C05_104545_trimix.fcs,Trimix,flowmop,False,0.941766231699888,0.543222222222222
largecut,5000,C3C1C05_104545_trimix.fcs,Trimix,peacoqc,False,0.999335483870968,0.141864380502691
largecut,5000,C3C1C05_104545_trimix.fcs,Trimix,flowcut,False,1.0,0.45444347826087
largecut,5000,C3C1C05_403525_trimix.fcs,Trimix,flowmop,False,0.407424578887505,0.990795454545455
largecut,5000,C3C1C05_403525_trimix.fcs,Trimix,peacoqc,False,0.0279317245438493,0.29377519379845
largecut,5000,C3C1C05_403525_trimix.fcs,Trimix,flowcut,False,0.405301440608861,0.833333333333333
